id;tema;titolo;corpo;autore;etichetta;creata;visibile
a11;amore;Mia madre dice che si vede;"Mia madre dice che si vede quando guardo il telefono e ci sei tu. Dice che faccio una faccia che non ho mai fatto per nessuno.

Le ho risposto male, come si fa a ventisei anni. Poi sono andata in bagno e ho pianto, perché ha ragione e mi fa una paura enorme.";anonimo;sguardi;2026-08-14T13:07:00;TRUE
a12;amore;Se leggi questa;"Se leggi questa saprai che sei tu, perché ti ho descritto un milione di volte e non ti ho mai nominato.

Non voglio niente. Volevo solo che una volta nella vita qualcuno scrivesse di te in un posto pubblico, e che tu passassi per caso e ti sentissi vista.";chi ti conosce;non detto;2026-08-19T10:26:00;TRUE
p01;paura;Scappo prima che tu lo faccia;"Il mio schema è sempre lo stesso: sto bene, sto troppo bene, e poi cerco un motivo. Un messaggio letto tardi, una frase detta male. Costruisco l'uscita mentre siamo ancora dentro.

Non ho paura di essere lasciata. Ho paura di non essere quella che decide.";anonimo;sabotaggio;2026-06-11T01:20:00;TRUE
p02;paura;Ho paura di essere troppo;"Conto i messaggi. Se ne ho mandati due di fila mi fermo. Rileggo tre volte prima di scrivere mi manchi e alla fine scrivo tutto ok.

Ho passato dieci anni a rendermi più piccola per stare nelle stanze di persone che non mi avevano chiesto niente.";n.;vulnerabilità;2026-06-18T23:02:00;TRUE
p03;paura;Il silenzio delle 23:47;C'è un'ora precisa in cui la paura arriva. Non è quando litighiamo: è quando è tutto tranquillo e tu dormi e io sto sveglia a chiedermi da quanto tempo va bene, e quanto può durare una cosa che va bene.;anonimo;silenzio;2026-06-29T23:47:00;TRUE
p04;paura;Non rispondo ai messaggi belli;"Ai messaggi brutti rispondo in trenta secondi. A quelli belli metto due giorni.

Un'amica me l'ha fatto notare e mi sono arrabbiata con lei. Ci ho pensato per un mese. Aveva ragione: rispondere a un messaggio bello vuol dire ammettere che mi ha fatto piacere.";f.;fuga;2026-07-04T16:15:00;TRUE
p05;paura;Mio padre è andato via a marzo;"Mio padre è andato via a marzo, io avevo nove anni, e per tutta la vita ho pensato che fosse per come sono fatta.

Ora ne ho trentuno e ogni volta che qualcuno prende la valigia per un viaggio di lavoro io controllo l'armadio, per vedere se ha lasciato le camicie. Le lascia sempre. Non è mai abbastanza.";anonimo;abbandono;2026-07-10T20:38:00;TRUE
p06;paura;Controllo l'ultimo accesso;"Non sono gelosa di lei. Sono gelosa dell'idea che qualcuno possa dargli una cosa che io non so dare.

È un pensiero che mi fa schifo e lo scrivo qui perché è l'unico posto dove nessuno mi guarda in faccia mentre lo dico.";una qualunque;gelosia;2026-07-15T00:55:00;TRUE
p07;paura;Se mi vedi davvero, mi lasci;"Sono bravissimo nei primi tre mesi: divertente, presente, attento. Poi comincia la parte in cui una persona ti vede davvero, e lì di solito trovo un lavoro in un'altra città.

Ho fatto due traslochi in quattro anni e li ho chiamati entrambi opportunità.";p.;vulnerabilità;2026-07-22T19:09:00;TRUE
p08;paura;Ho detto che non ero pronta;"Ho detto che non ero pronta. Era vero e non era vero: ero pronta per lui, non ero pronta per il rischio che fosse davvero la cosa giusta e che poi finisse comunque.

Preferire il niente al forse è la cosa più stupida che ho fatto, e la rifarei ancora. Questa è la parte che mi spaventa.";anonimo;sabotaggio;2026-07-28T12:40:00;TRUE
p09;paura;Ricominciare a trentaquattro anni;"Trentaquattro anni, un divorzio, un cane in affido condiviso.

La cosa che nessuno dice è che dopo non hai paura delle persone nuove: hai paura di te. Di scoprire che sceglieresti di nuovo la stessa cosa sbagliata, solo perché la riconosci.";m.t.;ricominciare;2026-08-03T09:26:00;TRUE
p10;paura;Ti chiamo amico così non fa male;"Ti chiamo amico da sei anni. Ti chiamo amico ai miei genitori, ai miei colleghi, a me stesso alle tre di notte.

Finché resta una parola piccola non può rompersi niente.";anonimo;attaccamento;2026-08-08T21:11:00;TRUE
p11;paura;Ho paura del suo silenzio, non del mio;"Quando non risponde per due ore, il mio corpo lo sa prima della mia testa: stomaco, mani, respiro corto.

Ho fatto un anno di terapia per imparare che due ore sono due ore e non un abbandono. Certi giorni funziona.";b.;silenzio;2026-08-12T18:29:00;TRUE
p12;paura;Non so stare senza avere paura;"Sto imparando che la paura non se ne va: si sposta. Prima era paura che non arrivasse nessuno, ora è paura che quello che è arrivato mi conosca.

Va bene, credo. Se aspetto di non avere paura non parto mai.";anonimo;ricominciare;2026-08-18T07:44:00;TRUE
